DATE,NYUR
1976-01-01,10.3
1976-02-01,10.300
1976-03-01,10.200
1976-04-01,10.200
1976-05-01,10.1
1976-06-01,10.200
1976-07-01,10.200
1976-08-01,10.200
1976-09-01,10.200
1976-10-01,10.200
1976-11-01,10.200
1976-12-01,10.2
1977-01-01,10.1
1977-02-01,10.0
1977-03-01,9.8
1977-04-01,9.6
1977-05-01,9.300
1977-06-01,9.100
1977-07-01,9.000
1977-08-01,8.800
1977-09-01,8.8
1977-10-01,8.600
1977-11-01,8.500
1977-12-01,8.400
1978-01-01,8.2
1978-02-01,8.100
1978-03-01,8.000
1978-04-01,7.900
1978-05-01,7.8
1978-06-01,7.800
1978-07-01,7.700
1978-08-01,7.600
1978-09-01,7.5
1978-10-01,7.4
1978-11-01,7.3
1978-12-01,7.2
1979-01-01,7.200
1979-02-01,7.100
1979-03-01,7.0
1979-04-01,7.000
1979-05-01,7.0
1979-06-01,7.0
1979-07-01,7.1
1979-08-01,7.1
1979-09-01,7.2
1979-10-01,7.2
1979-11-01,7.2
1979-12-01,7.1
1980-01-01,7.1
1980-02-01,7.1
1980-03-01,7.2
1980-04-01,7.400
1980-05-01,7.500
1980-06-01,7.600
1980-07-01,7.6
1980-08-01,7.600
1980-09-01,7.600
1980-10-01,7.500
1980-11-01,7.5
1980-12-01,7.5
1981-01-01,7.6
1981-02-01,7.6
1981-03-01,7.6
1981-04-01,7.6
1981-05-01,7.5
1981-06-01,7.4
1981-07-01,7.400
1981-08-01,7.4
1981-09-01,7.400
1981-10-01,7.6
1981-11-01,7.7
1981-12-01,7.9
1982-01-01,8.1
1982-02-01,8.2
1982-03-01,8.3
1982-04-01,8.4
1982-05-01,8.4
1982-06-01,8.5
1982-07-01,8.6
1982-08-01,8.8
1982-09-01,9.0
1982-10-01,9.2
1982-11-01,9.4
1982-12-01,9.5
1983-01-01,9.6
1983-02-01,9.5
1983-03-01,9.5
1983-04-01,9.4
1983-05-01,9.3
1983-06-01,9.1
1983-07-01,8.9
1983-08-01,8.7
1983-09-01,8.5
1983-10-01,8.3
1983-11-01,8.0
1983-12-01,7.8
1984-01-01,7.6
1984-02-01,7.5
1984-03-01,7.3
1984-04-01,7.2
1984-05-01,7.2
1984-06-01,7.200
1984-07-01,7.3
1984-08-01,7.200
1984-09-01,7.200
1984-10-01,7.100
1984-11-01,7.000
1984-12-01,6.9
1985-01-01,6.800
1985-02-01,6.800
1985-03-01,6.800
1985-04-01,6.700
1985-05-01,6.700
1985-06-01,6.600
1985-07-01,6.600
1985-08-01,6.500
1985-09-01,6.500
1985-10-01,6.400
1985-11-01,6.400
1985-12-01,6.4
1986-01-01,6.500
1986-02-01,6.600
1986-03-01,6.600
1986-04-01,6.6
1986-05-01,6.600
1986-06-01,6.500
1986-07-01,6.300
1986-08-01,6.100
1986-09-01,5.900
1986-10-01,5.800
1986-11-01,5.6
1986-12-01,5.500
1987-01-01,5.3
1987-02-01,5.2
1987-03-01,5.100
1987-04-01,4.9
1987-05-01,4.8
1987-06-01,4.7
1987-07-01,4.7
1987-08-01,4.700
1987-09-01,4.6
1987-10-01,4.6
1987-11-01,4.5
1987-12-01,4.4
1988-01-01,4.300
1988-02-01,4.1
1988-03-01,4.000
1988-04-01,4.000
1988-05-01,4.000
1988-06-01,4.100
1988-07-01,4.200
1988-08-01,4.3
1988-09-01,4.4
1988-10-01,4.4
1988-11-01,4.5
1988-12-01,4.5
1989-01-01,4.5
1989-02-01,4.6
1989-03-01,4.6
1989-04-01,4.7
1989-05-01,4.7
1989-06-01,4.8
1989-07-01,4.9
1989-08-01,5.0
1989-09-01,5.100
1989-10-01,5.1
1989-11-01,5.200
1989-12-01,5.200
1990-01-01,5.200
1990-02-01,5.1
1990-03-01,5.100
1990-04-01,5.0
1990-05-01,5.0
1990-06-01,5.100
1990-07-01,5.1
1990-08-01,5.300
1990-09-01,5.500
1990-10-01,5.7
1990-11-01,5.900
1990-12-01,6.2
1991-01-01,6.400
1991-02-01,6.7
1991-03-01,7.0
1991-04-01,7.2
1991-05-01,7.300
1991-06-01,7.4
1991-07-01,7.4
1991-08-01,7.400
1991-09-01,7.5
1991-10-01,7.600
1991-11-01,7.8
1991-12-01,8.000
1992-01-01,8.2
1992-02-01,8.4
1992-03-01,8.500
1992-04-01,8.7
1992-05-01,8.8
1992-06-01,8.800
1992-07-01,8.9
1992-08-01,8.9
1992-09-01,8.9
1992-10-01,8.8
1992-11-01,8.7
1992-12-01,8.6
1993-01-01,8.400
1993-02-01,8.3
1993-03-01,8.1
1993-04-01,8.0
1993-05-01,7.9
1993-06-01,7.800
1993-07-01,7.800
1993-08-01,7.800
1993-09-01,7.800
1993-10-01,7.800
1993-11-01,7.7
1993-12-01,7.700
1994-01-01,7.6
1994-02-01,7.5
1994-03-01,7.400
1994-04-01,7.300
1994-05-01,7.100
1994-06-01,7.000
1994-07-01,6.8
1994-08-01,6.700
1994-09-01,6.600
1994-10-01,6.500
1994-11-01,6.300
1994-12-01,6.200
1995-01-01,6.200
1995-02-01,6.200
1995-03-01,6.200
1995-04-01,6.300
1995-05-01,6.300
1995-06-01,6.400
1995-07-01,6.400
1995-08-01,6.5
1995-09-01,6.400
1995-10-01,6.400
1995-11-01,6.4
1995-12-01,6.300
1996-01-01,6.300
1996-02-01,6.300
1996-03-01,6.300
1996-04-01,6.3
1996-05-01,6.300
1996-06-01,6.300
1996-07-01,6.200
1996-08-01,6.100
1996-09-01,6.100
1996-10-01,6.2
1996-11-01,6.300
1996-12-01,6.400
1997-01-01,6.500
1997-02-01,6.5
1997-03-01,6.600
1997-04-01,6.5
1997-05-01,6.5
1997-06-01,6.5
1997-07-01,6.500
1997-08-01,6.400
1997-09-01,6.300
1997-10-01,6.2
1997-11-01,6.200
1997-12-01,6.100
1998-01-01,6.000
1998-02-01,5.900
1998-03-01,5.800
1998-04-01,5.700
1998-05-01,5.600
1998-06-01,5.500
1998-07-01,5.500
1998-08-01,5.500
1998-09-01,5.500
1998-10-01,5.4
1998-11-01,5.400
1998-12-01,5.400
1999-01-01,5.300
1999-02-01,5.300
1999-03-01,5.300
